#,,"generated_by='OpenQuake engine 3.11.5', start_date='2022-09-29T17:52:19', checksum=3422477514"
site_id,event_id,gmv_PGA
369,0,4.30179E-02
370,0,5.43829E-02
371,0,1.57950E-03
372,0,3.01852E-03
373,0,3.51631E-02
374,0,8.55150E-03
375,0,4.20867E-03
376,0,1.66443E-01
377,0,2.24798E-03
378,0,1.51797E-02
379,0,1.91960E-03
380,0,2.37155E-03
381,0,8.04519E-03
382,0,9.33791E-02
383,0,2.41893E-02
384,0,5.04546E-03
385,0,2.96003E-01
386,0,2.14953E-02
387,0,5.58625E-02
388,0,4.95335E-03
389,0,2.57667E-01
390,0,3.05575E-02
391,0,9.21167E-03
392,0,4.19313E-03
393,0,2.43005E-02
394,0,7.51878E-03
395,0,4.49161E-02
396,0,1.02370E-02
397,0,1.45681E-02
398,0,1.75316E-02
399,0,2.67051E-01
400,0,1.50652E-03
401,0,7.73089E-02
402,0,3.74290E-03
403,0,2.38940E-01
404,0,6.42912E-02
405,0,3.73919E-02
406,0,1.20373E-01
407,0,1.99630E-02
408,0,3.67860E-01
409,0,1.29177E-03
410,0,7.49868E-03
411,0,8.86482E-03
412,0,9.03600E-02
413,0,7.41590E-03
414,0,7.66094E-03
415,0,1.64991E-01
416,0,5.29583E-03
417,0,2.31026E-03
418,0,4.56412E-03
419,0,3.69567E-02
420,0,7.05434E-03
421,0,1.61684E-01
422,0,8.02718E-02
423,0,2.84783E-02
424,0,1.50653E-03
425,0,1.21788E-02
426,0,3.58480E-03
427,0,3.37018E-01
428,0,4.66715E-03
429,0,1.36139E-03
430,0,1.41030E-02
431,0,1.07862E-01
432,0,2.12284E-01
433,0,3.97025E-03
434,0,7.71157E-02
435,0,6.34057E-03
436,0,7.56197E-03
437,0,1.76945E-02
438,0,1.25533E-01
439,0,1.27951E-03
440,0,1.54700E-03
441,0,3.96203E-02
442,0,4.73428E-03
443,0,1.53582E-02
444,0,2.19274E-01
445,0,3.34227E-02
446,0,2.30219E-01
447,0,4.12065E-02
448,0,2.57718E-03
449,0,7.10211E-03
450,0,7.64235E-03
451,0,1.12949E-01
452,0,3.55323E-03
453,0,3.89536E-01
