site_id,lon,lat
369,26.49433,86.90839
370,26.49514,86.67516
371,26.49528,87.76213
372,26.49558,87.67150
373,26.49610,87.15272
374,26.49622,87.22917
375,26.49634,87.74317
376,26.49654,86.64396
377,26.49705,87.63155
378,26.49721,87.54066
379,26.49743,88.11461
380,26.49779,87.81623
381,26.49782,87.71186
382,26.49824,86.61871
383,26.49829,87.40681
384,26.49897,87.97206
385,26.49916,86.78350
386,26.49980,87.12185
387,26.50007,86.91715
388,26.50008,87.99700
389,26.50050,86.84740
390,26.50057,87.59099
391,26.50066,87.47408
392,26.50098,87.78413
393,26.50105,87.31459
394,26.50114,87.51670
395,26.50146,87.24992
396,26.50170,87.75087
397,26.50171,87.30072
398,26.50177,87.42273
399,26.50199,86.80974
400,26.50229,88.02547
401,26.50291,87.08115
402,26.50321,87.93928
403,26.50361,86.70075
404,26.50385,86.63231
405,26.50388,87.26673
406,26.50402,86.70552
407,26.50418,86.61515
408,26.50459,86.74059
409,26.50478,88.08858
410,26.50517,87.50197
411,26.50540,87.98784
412,26.50591,87.09183
413,26.50604,87.66275
414,26.50641,87.68724
415,26.50645,86.81124
416,26.50697,87.62417
417,26.50698,88.05449
418,26.50711,87.96882
419,26.50716,87.17125
420,26.50742,87.85554
421,26.50743,86.65679
422,26.50775,86.74942
423,26.50776,87.13365
424,26.50784,87.92925
425,26.50850,87.43992
426,26.50862,87.91298
427,26.50884,86.83489
428,26.50909,87.71966
429,26.50936,88.10610
430,26.50978,87.15492
431,26.50991,86.60662
432,26.51017,86.75610
433,26.51046,87.56758
434,26.51052,86.82364
435,26.51063,87.82604
436,26.51081,87.26997
437,26.51082,87.48243
438,26.51087,86.64297
439,26.51131,88.07329
440,26.51132,87.97689
441,26.51156,87.45319
442,26.51190,87.72971
443,26.51211,87.25379
444,26.51214,86.87519
445,26.51226,87.38314
446,26.51242,86.97588
447,26.51245,87.14374
448,26.51263,88.03571
449,26.51289,87.30568
450,26.51328,87.80263
451,26.51365,86.90702
452,26.51370,87.90430
453,26.51374,86.76742
454,26.51392,87.25996
455,26.51419,87.28000
456,26.51423,87.20923
457,26.51438,87.26985
458,26.51484,87.07122
459,26.51498,87.36822
460,26.51507,87.18564
461,26.51534,87.94845
462,26.51585,87.79264
463,26.51629,87.65769
464,26.51639,87.29193
465,26.51659,86.79807
466,26.51687,87.91830
467,26.51697,86.68032
468,26.51703,87.86154
